is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score,readability_score,word_count,sentence_count,average_word_length,unique_word_count,lexical_diversity
0,11000.0,0,0,1,5,690,10,0,0,3,0,0,0.031578947368421,0,5500.0,0.0072358900144717,0,1,9.177491408934742,6,1,8,0.1666666666666666,9.177491408934742,98,3,5.816326530612245,78,0.7959183673469388
0,11000.0,0,0,1,9,1262,20,0,0,3,0,0,0.017391304347826,0,5500.0,0.007125890736342,0,1,38.22492549335482,0,0,0,0.1,38.22492549335482,189,13,5.476190476190476,118,0.6243386243386243
0,5500.0,0,0,2,8,1265,10,0,1,3,0,0,0.0299806576402321,0,1833.3333333333333,0.0063191153238546,0,1,37.96741148531956,0,0,0,0.2222222222222222,37.96741148531956,187,12,5.529411764705882,114,0.6096256684491979
0,12500.0,1,0,4,4,352,2,0,0,2,0,0,0.0276816608996539,0,2500.0,0.0113314447592068,0,0,14.933636363636396,0,0,0,0.8,14.933636363636396,47,4,6.148936170212766,38,0.8085106382978723
0,23000.0,1,0,4,3,863,15,0,0,2,0,0,0.0417266187050359,0,4600.0,0.0034722222222222,0,0,22.144115384615414,0,0,0,1.0,22.144115384615414,112,10,6.205357142857143,87,0.7767857142857143
0,16000.5,1,0,2,3,215,0,0,0,5,0,0,0.0285714285714285,0,5333.5,0.0138888888888888,0,0,30.022500000000008,0,0,0,0.5,30.022500000000008,30,4,5.833333333333333,24,0.8
0,18500.0,0,0,3,2,627,0,0,0,3,0,0,0.0234833659491193,0,4625.0,0.0031847133757961,0,1,30.44946317103623,0,0,0,1.0,30.44946317103623,85,9,6.011764705882353,68,0.8
0,27100.5,0,0,13,5,1422,1,0,0,5,0,0,0.0456810631229235,0,1935.75,0.0035137034434293,0,1,1.2067567567567608,0,0,0,2.1666666666666665,1.2067567567567608,188,7,6.404255319148936,132,0.7021276595744681
0,7500.0,1,0,3,3,1049,1,0,0,5,0,0,0.0207134637514384,0,1875.0,0.0028571428571428,0,0,26.50314268512946,0,0,0,0.75,26.50314268512946,147,11,5.91156462585034,100,0.6802721088435374
0,10000.0,0,0,7,4,380,5,0,0,2,0,0,0.0368098159509202,0,1250.0,0.0104986876640419,0,1,-30.09772727272727,0,0,0,1.4,-30.09772727272727,51,1,6.392156862745098,39,0.7647058823529411
0,8000.0,1,0,3,2,430,0,0,0,2,0,0,0.0347826086956521,0,2000.0,0.0046403712296983,0,0,35.985000000000014,0,0,0,1.0,35.985000000000014,57,7,6.052631578947368,51,0.8947368421052632
1,26500.0,1,0,6,5,1869,2,0,0,2,0,0,0.053324555628703,0,3785.714285714286,0.0026737967914438,0,0,31.29444776119405,0,0,0,1.0,31.29444776119405,259,20,5.864864864864865,173,0.667953667953668
0,8500.0,1,0,4,2,271,0,0,0,2,0,0,0.0177777777777777,0,1700.0,0.0073529411764705,0,0,6.613382352941216,0,0,0,1.3333333333333333,6.613382352941216,34,4,6.617647058823529,30,0.8823529411764706
0,9500.0,0,0,3,8,827,1,0,0,1,0,0,0.0582241630276564,0,2375.0,0.0096618357487922,0,1,14.91468691588787,0,0,0,0.3333333333333333,14.91468691588787,105,10,6.542857142857143,75,0.7142857142857143
0,7000.0,0,0,6,7,662,1,0,0,3,0,0,0.018018018018018,0,1000.0,0.0105580693815987,0,1,13.935377906976782,6,0,8,0.75,13.935377906976782,87,8,6.379310344827586,64,0.735632183908046
0,7500.0,0,0,4,4,139,8,0,0,1,0,0,0.0092592592592592,0,1500.0,0.0285714285714285,0,1,28.344779411764733,0,0,0,0.8,28.344779411764733,19,4,5.684210526315789,18,0.9473684210526316
0,11000.0,0,0,2,3,1145,1,0,0,3,0,0,0.0328738069989395,0,3666.6666666666665,0.0026178010471204,0,1,28.988992248062036,0,1,0,0.5,28.988992248062036,172,12,5.482558139534884,108,0.627906976744186
0,16000.0,0,0,5,8,654,2,0,0,2,0,0,0.0408163265306122,1,2666.6666666666665,0.0122137404580152,0,1,14.964181818181856,10,0,0,0.5555555555555556,14.964181818181856,87,5,6.195402298850575,70,0.8045977011494253
0,7750.0,0,0,5,3,556,2,0,0,2,0,0,0.0262008733624454,0,1291.6666666666667,0.0053859964093357,0,1,16.87861201298705,0,0,0,1.25,16.87861201298705,76,8,6.026315789473684,55,0.7236842105263158
0,7500.5,1,0,9,4,163,3,0,0,4,0,0,0.1338582677165354,0,750.05,0.024390243902439,0,0,36.565,0,0,0,1.8,36.565,24,3,5.291666666666667,23,0.9583333333333334
0,6500.0,1,0,6,7,370,1,0,0,3,0,0,0.0266666666666666,0,928.5714285714286,0.0188679245283018,0,0,15.553500000000014,0,0,0,0.75,15.553500000000014,48,5,6.25,41,0.8541666666666666
1,15000.0,1,0,5,3,979,6,0,0,4,0,0,0.0345238095238095,0,2500.0,0.0030612244897959,0,0,-113.91881889763778,0,0,0,1.25,-113.91881889763778,132,1,6.363636363636363,92,0.696969696969697
0,10000.5,1,0,5,5,927,2,0,0,4,0,0,0.0576407506702412,0,1666.75,0.0053879310344827,0,0,30.11302083333337,0,0,0,0.8333333333333334,30.11302083333337,120,12,6.216666666666667,94,0.7833333333333333
0,53500.0,1,0,3,12,456,7,0,0,4,0,0,0.024,0,13375.0,0.0262582056892779,0,0,-0.3783018867924568,6,0,8,0.2307692307692307,-0.3783018867924568,52,7,7.211538461538462,44,0.8461538461538461
