is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score
0,10500.0,1,0,1,5,1020,1,0,0,2,0,0,0.02497027348394768,0,5250.0,0.004897159647404506,0,0,35.07409090909093,0,0,0,0.16666666666666666
0,22500.0,1,0,6,5,929,2,0,0,2,0,0,0.01164294954721863,0,3214.285714285714,0.005376344086021506,0,0,7.837391713747678,0,0,0,1.0
0,5000.0,1,0,1,4,473,1,0,0,6,0,0,0.01278772378516624,0,2500.0,0.008438818565400843,0,0,30.64609090909093,0,0,0,0.2
0,0.0,1,0,5,8,575,1,0,0,4,0,0,0.02813852813852814,0,0.0,0.013888888888888888,0,0,49.24352941176471,6,0,8,0.5555555555555556
0,3500.0,1,0,3,6,244,1,0,0,2,0,0,0.06030150753768844,0,875.0,0.024489795918367346,0,0,23.268294117647088,0,0,0,0.42857142857142855
0,5000.0,1,0,1,4,468,1,0,0,6,0,0,0.03359173126614987,0,2500.0,0.008528784648187633,0,0,21.745625000000018,0,0,0,0.2
0,14000.0,1,0,5,4,404,0,0,0,2,0,0,0.018072289156626505,0,2333.3333333333335,0.009876543209876543,0,0,23.932500000000033,6,0,8,1.0
0,22500.0,1,0,5,5,532,1,0,0,4,0,0,0.0136986301369863,0,3750.0,0.009380863039399626,0,0,13.70163043478263,0,0,0,0.8333333333333334
0,13500.0,1,0,5,3,357,0,0,0,2,0,0,0.020338983050847456,0,2250.0,0.008379888268156424,0,0,31.277500000000003,0,0,0,1.25
0,12500.0,1,0,8,3,2835,0,0,0,3,0,0,0.039914163090128754,0,1388.888888888889,0.0010578279266572638,0,0,24.07990662139221,0,0,0,2.0
0,7500.0,1,0,2,4,483,2,0,0,6,0,0,0.035897435897435895,0,2500.0,0.008264462809917356,0,0,29.134375000000034,0,0,0,0.4
0,4500.0,0,0,8,4,1134,3,0,0,1,0,0,0.046486486486486484,0,500.0,0.003524229074889868,0,1,33.89725170782975,0,1,0,1.6
0,6000.0,1,0,3,4,323,1,0,0,1,0,0,0.041044776119402986,0,1500.0,0.012345679012345678,0,0,-5.086666666666645,6,0,8,0.6
0,8500.0,0,0,1,5,273,2,0,0,4,0,0,0.03111111111111111,0,4250.0,0.01824817518248175,0,1,14.400000000000034,0,0,0,0.16666666666666666
0,6500.0,0,0,1,5,429,2,0,0,6,0,0,0.059490084985835696,0,3250.0,0.011627906976744186,0,1,-0.5786923076923074,0,0,0,0.16666666666666666
0,17500.0,1,0,1,3,591,1,0,0,4,0,0,0.029045643153526972,0,8750.0,0.005067567567567568,0,0,9.068815789473689,0,0,0,0.25
0,27500.0,1,0,8,5,750,1,0,0,4,0,0,0.05057096247960848,0,3055.5555555555557,0.006657789613848202,0,0,16.178725490196086,0,0,0,1.3333333333333333
0,13500.0,1,0,3,5,140,3,0,0,2,0,0,0.03508771929824561,0,3375.0,0.03546099290780142,0,0,-18.19999999999996,0,0,0,0.5
0,5750.0,0,0,3,4,370,1,0,0,1,0,0,0.039603960396039604,0,1437.5,0.01078167115902965,0,1,15.553500000000014,0,0,0,0.6
0,5450.0,1,0,4,4,459,2,0,0,3,0,0,0.03896103896103896,0,1090.0,0.008695652173913044,0,0,8.253473684210519,0,0,0,0.8
0,4000.0,1,0,4,3,455,0,0,0,1,0,0,0.021333333333333333,0,800.0,0.006578947368421052,0,0,14.63988729508199,0,0,0,1.0
0,3500.0,1,0,1,3,127,3,0,0,4,0,0,0.04854368932038835,0,1750.0,0.0234375,0,0,-6.9199999999999875,0,0,0,0.25
0,13500.0,1,0,11,8,1065,0,0,0,2,0,0,0.027842227378190254,0,1125.0,0.0075046904315197,0,0,36.465833333333364,0,1,0,1.2222222222222223
0,11000.0,0,0,4,4,1145,3,0,0,2,0,0,0.0384204909284952,0,2200.0,0.0034904013961605585,0,1,27.825000000000017,0,0,0,0.8
1,20000.0,1,0,4,5,910,6,0,0,2,0,0,0.04576043068640646,0,4000.0,0.005488474204171241,0,0,22.460984615384632,0,0,0,0.6666666666666666
